unique_keyword_id,intent_localised_id,intent_localised,keyword_template,language
764528480d1a676c651911036300f034,aa8af3ebe14831a7cd1b6d1383a03755,chat,"intent,subject,location",por
764528480d1a676c651911036300f034,aa8af3ebe14831a7cd1b6d1383a03755,chat,"intent,subject,location",fre
6de30c75d675d533436735e645bb2264,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject",gre
6de30c75d675d533436735e645bb2264,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject",kor
0c6504ea2efea748cc4f1d0a992ef61f,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent",chi
f273de6bb7d1ebab4530a2580535f7e9,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,training",cht
24203702a2ed5ff9ccae61eede5d1833,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject,location",ita
d67a76d8468c0641ff96dd69c0844180,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent",swe
15c0d564e9e3d09c4e55bbcd2066915a,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject,location",spa
9680278bda90d8a5bdabe9faffc6dd66,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,training",fre
e0af73c9fbd1bc4077d59e9b7d0969d3,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent,training",gre
1c148525b52b298b7d661d75f924e75f,7706998cba9c59295e0416087833034c,ICAS,"subject,intent,training",eng
0c6504ea2efea748cc4f1d0a992ef61f,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent",tha
24203702a2ed5ff9ccae61eede5d1833,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject,location",por
d67a76d8468c0641ff96dd69c0844180,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent",kor
d67a76d8468c0641ff96dd69c0844180,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent",nor
a5f9209b08bcb64d7d5dc85f9f8cbcf9,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,training",gre
01d6cbc7d1212e70cd859372a7b081f0,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent",ind
ec755bf7b4570685ec033864239fa082,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,location",tha
ec4ad90b5a9c1025f47585e464d09c97,513bcfa2b82dc1735a07b97b7f870106,BEC,"intent,subject",ita
d6239f81300deba932bc1c8f857dc95e,513bcfa2b82dc1735a07b97b7f870106,BEC,"subject,intent,training",jpn
e0af73c9fbd1bc4077d59e9b7d0969d3,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent,training",cht
3c680a0dab3d45e03565b1f073505f48,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent,location",eng
6de30c75d675d533436735e645bb2264,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject",swe
0c6504ea2efea748cc4f1d0a992ef61f,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent",jpn
f273de6bb7d1ebab4530a2580535f7e9,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,training",spa
5137f7e3aaa9d54f24d67913786ce4ba,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject",tha
15c0d564e9e3d09c4e55bbcd2066915a,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject,location",swe
d6239f81300deba932bc1c8f857dc95e,513bcfa2b82dc1735a07b97b7f870106,BEC,"subject,intent,training",dan
dcc4e2b1839621cb77cedc8aff5abdc2,7706998cba9c59295e0416087833034c,ICAS,"intent,subject,location",fin
6de30c75d675d533436735e645bb2264,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject",por
21a304f9aaf2fd3837501649b94f8961,aa8af3ebe14831a7cd1b6d1383a03755,chat,"subject,intent,medium",rum
f273de6bb7d1ebab4530a2580535f7e9,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,training",tha
0a2f5a070cd392d20d9757d2a665a369,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,location",ita
5137f7e3aaa9d54f24d67913786ce4ba,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject",heb
a5f9209b08bcb64d7d5dc85f9f8cbcf9,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,training",dan
