primary_key_campaign_name_template,market,market_id,campaign_name_template,campaign_name_template_id,valid_from,valid_to
7148981af940481f81dc8ce398ab47d6,hk-sg,3074f0246978cce91397c2b51a728631,"stu_sem_generic_web_0_,language,_xx_multiplesub_,match_type,-,market",7a0a14a9cfe0aae0c4864e218b2d438b,1970-01-01,
d813d0ae66a0f125e74df7be359552d6,it,0d149b90e7394297301c90191ae775f0,"stu_sem_generic_web_0_,language,_,market,_xx_multiplesub_,match_type",98060ed76dec3ebc224ab9582546a54b,1970-01-01,
2dafbef7b4ef4066a54ef9933bae8e55,pl,288404204e3d452229308317344a285d,"stu_sem_generic_web_0_,language,_,market,_xx_multiplesub_,match_type",98060ed76dec3ebc224ab9582546a54b,1970-01-01,
6a007d3edd9dc57fa99b15ac12c3e9dd,tr,e7d707a26e7f7b6ff52c489c60e429b1,"stu_sem_generic_web_0_,language,_,market,_xx_multiplesub_,match_type",98060ed76dec3ebc224ab9582546a54b,1970-01-01,
6d04cc6d5069db76fc2814bcb3774bf7,ph,da984e42a5899bbdac496ef0cbadcee2,"stu_sem_generic_web_0_,language,_,market,_xx_multiplesub_,match_type",98060ed76dec3ebc224ab9582546a54b,1970-01-01,
2523bf2f74c6f170567790a14a00b51a,br,dc634e2072827fe0b5be9a2063390544,"stu_sem_generic_web_0_,language,_,market,_xx_multiplesub_,match_type",98060ed76dec3ebc224ab9582546a54b,1970-01-01,
e382475d3eb936aed468bcce48226b91,fi,75778bf8fde7266d416b0089e7b8b793,"stu_sem_generic_web_0_,language,_,market,_xx_multiplesub_,match_type",98060ed76dec3ebc224ab9582546a54b,1970-01-01,
b835b389b657a0ec75165cbb8ac0606d,nl,1a13105b7e4eb5fb2e7c9515ac06aa48,"stu_sem_generic_web_0_,language,_,market,_xx_multiplesub_,match_type",98060ed76dec3ebc224ab9582546a54b,1970-01-01,
b3ce604a8a9ad31938e93f1b6de2ada5,ua,5269f4d75f5bc75f0f94bab2100a5531,"stu_sem_generic_web_0_,language,_,market,_xx_multiplesub_,match_type",98060ed76dec3ebc224ab9582546a54b,1970-01-01,
2b621a7966a5035cb8bd8fa5fd8f3038,il,4605f628f91de21e4b5f9433f46e29eb,"stu_sem_generic_web_0_,language,_,market,_xx_multiplesub_,match_type",98060ed76dec3ebc224ab9582546a54b,1970-01-01,
c7cbdb2945296801e924e5e57da9f08a,pt,fc9fdf084e290f26a270390dc49061a2,"stu_sem_generic_web_0_,language,_,market,_xx_multiplesub_,match_type",98060ed76dec3ebc224ab9582546a54b,1970-01-01,
32385ba76c62526b71826f0148646a09,my,6864f389d9876436bc8778ff071d1b6c,"stu_sem_generic_web_0_,language,_,market,_xx_multiplesub_,match_type",98060ed76dec3ebc224ab9582546a54b,1970-01-01,
568830364702264b31beee3f12b03c62,ww,ad57484016654da87125db86f4227ea3,"stu_sem_generic_web_0_,language,_xx_multiplesub_,match_type,-,market",7a0a14a9cfe0aae0c4864e218b2d438b,1970-01-01,
f7ad06aa66157de0ae0f24a03263a4df,chl-ecu-pan-pri,f254290e5d1cb72580c9add92b72ce00,"stu_sem_generic_web_0_,language,_xx_multiplesub_,match_type,-,market",7a0a14a9cfe0aae0c4864e218b2d438b,1970-01-01,
33f9130ab27ac8ae732d477eba074169,tha,c5e5b2a9aee71feb308ca4ecdd626746,"stu_sem_generic_web_0_,language,_xx_multiplesub_,match_type,-,market",7a0a14a9cfe0aae0c4864e218b2d438b,1970-01-01,
