subject_localised_id,subject_localised,language
8de1298434cca2229f0ef7799614477b,Croate,fre
798b32d8ccfebd05c7ca8e759dec83a8,Néerlandais,fre
bbc0294ce6177b932fad9c75af2b8563,Punjabi,fre
e7733389c419c59c3243e719055f83da,Langue,fre
7e22688e574d56e92a0671f540c4e076,Dänisch,ger
10c9ff08cb970a9e896e7df9d3eeaa20,Irisch,ger
5c13046c92e5ba6a7763bfda90f0ee45,Litauisch,ger
670dbf8ed552b6a561abb9173f77861e,Russisch,ger
e0afba42b200f3b79b9b9929d45aa0b4,Ukrainisch,ger
cf4cb25aace4506c577f238f40841de6,Koran,ger
03f7a766f22d9a88a729afd1d582fa7e,Bielorusso,ita
bbc0294ce6177b932fad9c75af2b8563,Punjabi,ita
8f4e7c5f66d6ee5698c01de29affc562,Algebra,ita
ba2eabdb6d89763a8f61bfd86b098815,Hebraico,por
22b41b8e2d7b8b80c76fd5c082f657b0,Indonésien,fre
d64cff5bf7142b4481accd79b34f15c4,Musique,fre
a33d5847852cce879b47c90734c4bd7e,Farsi,ger
3269f527f72c64c6f8f492be8bb514f7,Hebräisch,ger
415637cb0a9e561e861773cda6148ec2,Serbisch,ger
15b88a88e6cf16a4462c1562fdcb0c19,Telugu,ger
e323b8497ab81c8ea14e36cb52746151,Cinese,ita
c72edf1e7a17a0e930f8fad9a4381eae,Ebraico,ita
5e854e9d31f5afc6b6d2662618923200,Lingue,ita
0dea760cd509ec5e3397c542dcf49bdf,Chimica,ita
9f564ebabc9cf0b9589b4ecf6228379a,Khmer,ger
33c98fed061261dd324ffd388204927b,Chino,spa
216df59d4dca0cc05c7678221afc6c97,Inglés,spa
3cbc8d0a7497a131a3a0befe5d39d86b,Húngaro,spa
4309c5da669f29e9a49431017c900fc5,Islandés,spa
ff46e55c1733301a04c67c3934180a99,Italiano,spa
1c533f71d30506d1822118e24d68b346,Eslovaco,spa
1834c33868578413cf55905210598ee1,Indonesio,spa
9c6a6e2d4b4e842cb63f84e2bb2db137,Fiński,pol
9a03640c1fe148e229b09f5f7d7b58b9,Francuski,pol
9cabd34bd5460ab44097e375efa1a5b8,Niemiecki,pol
0f093679226cafe896537db2860f275d,Litewski,pol
cf4cb25aace4506c577f238f40841de6,Koran,pol
8a3599763a8c8beb3d82ed4f05db3c5e,加泰罗尼亚语,cht
52c1977ebe1d7404da8ee9c33ed02be6,克罗地亚语,cht
dfbd9374b7d55cb26f887b79b7337ad4,意大利语,cht
802a962854d01a8a533bb4b6cd8a1184,物理学,cht
916ad9b8278d78bc734c9422047b0357,拉丁语,cht
71fb42028e1da2eda8bbe662c21e928a,立陶宛语,cht
c345e827a1e3ef495eec5a59c84f1bd6,旁遮普语,cht
83680a5c503a603d9faaa8fc431cb945,チェコ語,jpn
d36f1007cc09526730045d60ceb10069,セルビア語,jpn
ef9148fdaa3af7adff47e003c3e3474b,代数,jpn
7e3413b173894003e787005e75292eb3,Физика,rus
9b7084d0afd1a5009d871f10ee34b3d4,Фарсі,ukr
f5d44281e5c06d65e3e7db9f376e9464,Кхмерська,ukr
5a88072ab2c953538b446ce7ee2e1739,Литовська,ukr
55fefb776412b497fa08c88fab3309f5,Belarusça,tur
22f4529b497af69de07000d5d410bcdf,Kantonca,tur
e1b3c4af440017e8eac57dce9bded6a2,Fransızca,tur
f59ff96755e011a236a737665e8ef3c8,Japonca,tur
326d62eb9b0123a22c03b57919b2004f,Latince,tur
a216d1efb899466d45165f2a9ebfc4bf,Slovakça,tur
d3f0ca205998361a121316f51349b390,Kroatisch,ger
5075658b937858e8d4d687114ef730f0,Ungarisch,ger
7619ddea1cab8fc1258f320ce6540e4a,Bielorrusso,por
1aca30cfbbaac249bf033d480f8e2b73,Norvégien,fre
1cb1de4f2fb42500a49dff67121030eb,Tschechisch,ger
cb629b20e24b90e7ef492c581674f594,Mandarín,spa
060989071f0641ec8861241315bb8b7c,Perski,pol
63a409a6e00a35cbd21ab80a915af9d9,土耳其语,cht
223ec1e8ed7e6a1dbcadea8a649101c2,Białoruski,pol
a49baa97696350c4952da7b49a0fe6b8,Tajski,pol
bbc0294ce6177b932fad9c75af2b8563,Punjabi,eng
8852f9b6d2b9018bafeb2f08effe9d5d,Chinois,fre
76c06512227f8cd467f0008c8ec68f39,Mandarin,fre
905f534bbe1842bdb27024f4d2faa5ff,Serbe,fre
f86cf2fe1af0ef903c6f0a39257ecfdf,Katalanisch,ger
073735b8e1a5bcaac499c2a3b17be832,Slowakisch,ger
